Model,Year,Miles,Location,Prices,Link,Scraped_On
 Subaru forester 2.5X Limited Sport Utility 4D,2012,136K miles,"New Britain, CT","$5,900",https://www.facebook.com//marketplace/item/1187984525973628/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda accord Sport Sedan 4D,2016,98K miles,"New Britain, CT","$1,400",https://www.facebook.com//marketplace/item/2817079021778080/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry LE Sedan 4D,2000,128K miles,"Farmington, CT","$3,600",https://www.facebook.com//marketplace/item/1213078496739099/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Subaru impreza 2.0i Sedan 4D,2014,199K miles,"Clinton, CT","$3,900",https://www.facebook.com//marketplace/item/1637173800413038/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Chevrolet malibu LT Sedan 4D,2013,103K miles · Dealership,"South Glastonbury, CT","$3,950",https://www.facebook.com//marketplace/item/849749063866925/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
" QUALITY USED CARS $3,000 down & up YES ITS AVAILABLE 👍🏼",2018,75K miles · Dealership,"Hartford, CT","$3,000",https://www.facebook.com//marketplace/item/698750652319522/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Subaru forester,2016,107K miles,"Newington, CT","$8,995",https://www.facebook.com//marketplace/item/760252139608504/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Infiniti q50 3.7 Premium Sedan 4D,2014,146K miles · Dealership,"Bloomfield, CT","$9,499",https://www.facebook.com//marketplace/item/901725791820078/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Ford fusion Titanium Sedan 4D,2015,170K miles,"Cromwell, CT","$5,900",https://www.facebook.com//marketplace/item/1202088661142114/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry LE Sedan 4D,2000,99K miles,"Wethersfield, CT","$2,100",https://www.facebook.com//marketplace/item/2819208948234405/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda accord LX Sedan 4D,2010,269K miles,"West Hartford, CT","$3,000",https://www.facebook.com//marketplace/item/333852029766890/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Chrysler 300C Sedan 4D,2014,67K miles,"Farmington, CT","$9,500",https://www.facebook.com//marketplace/item/1156111882297913/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 BMW 3 series 328xi Sedan 4D,2008,135K miles,"Granby, CT","$5,000",https://www.facebook.com//marketplace/item/1514465069189435/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Ford focus SE Sedan 4D,2008,122K miles,"East Hartford, CT","$3,999",https://www.facebook.com//marketplace/item/809649467933427/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Kia forte EX Sedan 4D,2010,135K miles,"West Haven, CT","$3,899",https://www.facebook.com//marketplace/item/3607320459484323/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Volkswagen eos Turbo Hard Top Convertible 2D,2008,1.7K miles,"New Haven, CT","$4,500",https://www.facebook.com//marketplace/item/994498552145923/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda accord SE Sedan 4D,2012,160K miles,"Orange, CT","$5,700",https://www.facebook.com//marketplace/item/396969199462374/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 BMW 3 series 335i Sedan 4D,2011,75K miles,"Bloomfield, CT","$10,490",https://www.facebook.com//marketplace/item/1385963162072712/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Volkswagen golf 2.5L Hatchback 4D,2013,86K miles,"New Britain, CT","$4,800",https://www.facebook.com//marketplace/item/1665728854241660/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Volkswagen golf gti Autobahn Hatchback Sedan 4D,2015,125K miles,"Wethersfield, CT","$11,000",https://www.facebook.com//marketplace/item/699531532304458/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda civic EX Sedan 4D,2008,83K miles,"Hartford, CT",$6,https://www.facebook.com//marketplace/item/1051359146346323/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai santa fe GLS Sport Utility 4D,2008,164K miles,"New Britain, CT","$3,000",https://www.facebook.com//marketplace/item/3807410216180677/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan maxima Sport,2013,160K miles · Dealership,"Hartford, CT","$3,500",https://www.facebook.com//marketplace/item/1516650645603322/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Volkswagen jetta S Sedan 4D,2008,135K miles,"Hamden, CT","$2,300",https://www.facebook.com//marketplace/item/508657368396323/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
