Model,Year,Miles,Location,Prices,Link,Scraped_On
 Toyota prius,2013,104K miles,"Cincinnati, OH","$12,900",https://www.facebook.com//marketplace/item/1237244710967429/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota prius Touring Hatchback 4D,2008,180K miles,"Mason, OH","$5,800",https://www.facebook.com//marketplace/item/1520766711904364/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Honda civic LX Sedan 4D,2007,150K miles,"Cincinnati, OH","$3,800",https://www.facebook.com//marketplace/item/871814888299091/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Ford focus SE Sedan 4D,2013,72K miles,"Fairfield, OH","$4,850",https://www.facebook.com//marketplace/item/1298916234846623/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Nissan altima 2.5 Sedan 4D,2006,162K miles,"Cincinnati, OH","$123,456",https://www.facebook.com//marketplace/item/2698874620271199/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Volkswagen jetta 2.0L Base Sedan 4D,2014,137K miles,"Cincinnati, OH","$1,234",https://www.facebook.com//marketplace/item/420549837094259/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Volkswagen jetta sportwagen 2.0L TDI Sport Wagon 4D,2014,118K miles,"Fort Mitchell, KY","$4,500",https://www.facebook.com//marketplace/item/758004839600204/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota camry LE Sedan 4D,2002,205K miles,"Cincinnati, OH","$2,200",https://www.facebook.com//marketplace/item/741808617953167/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Mazda,2007,131K miles,"Goshen, OH","$3,595",https://www.facebook.com//marketplace/item/843849801024330/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Honda civic EX-L Sedan 4D,2008,222K miles,"Cincinnati, OH","$3,800",https://www.facebook.com//marketplace/item/1406036406775715/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Chevrolet cruze LT Sedan 4D,2012,110K miles,"Cincinnati, OH","$4,950",https://www.facebook.com//marketplace/item/488414593569421/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Volkswagen jetta TDI Sedan 4D,2011,161K miles,"Cincinnati, OH","$6,999",https://www.facebook.com//marketplace/item/7745274038913081/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Mazda mazda6 i Grand Touring Sedan 4D,2012,198K miles,"Cincinnati, OH","$2,700",https://www.facebook.com//marketplace/item/7697104893659305/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota prius Four Hatchback 4D,2012,165K miles,"Cincinnati, OH","$6,500",https://www.facebook.com//marketplace/item/1127200945015358/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota highlander Limited,2013,78K miles,"Lexington, KY","$12,800",https://www.facebook.com//marketplace/item/967520215057791/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
