Model,Year,Miles,Location,Prices,Link,Scraped_On
 Nissan rogue SV,2018,115K miles,"Lafayette, IN","$13,900",https://www.facebook.com//marketplace/item/25870720905908147/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Jeep cherokee TrailHawk Sport Utility 4D,2019,77K miles,"Lafayette, IN",$529,https://www.facebook.com//marketplace/item/428717136651485/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda accord,2015,121K miles,"Frankfort, IN","$8,900",https://www.facebook.com//marketplace/item/1468091920738333/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia optima FE,2017,65K miles,"Indianapolis, IN","$10,000",https://www.facebook.com//marketplace/item/1254761849240147/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Volkswagen jetta 1.8T SE Sedan 4D,2014,170K miles,"Lafayette, IN","$5,000",https://www.facebook.com//marketplace/item/772410311732428/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Toyota corolla LE Sedan 4D,2023,21K miles,"Carmel, IN","$20,000",https://www.facebook.com//marketplace/item/1198880897775547/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai sonata,2015,65K miles,"West Lafayette, IN","$11,900",https://www.facebook.com//marketplace/item/445346781614231/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan sentra,2019,69K miles,"Lebanon, IN","$13,997",https://www.facebook.com//marketplace/item/862630295769603/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda accord EX-L Sedan 4D,2015,121K miles,"Frankfort, IN","$8,900",https://www.facebook.com//marketplace/item/487699053720055/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Volkswagen passat 2.0T Sedan 4D,2007,30K miles,"Lafayette, IN","$1,234",https://www.facebook.com//marketplace/item/288190364316303/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai sonata,2022,39K miles,"Lafayette, IN",$490,https://www.facebook.com//marketplace/item/377684461983081/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Toyota prius Four Hatchback 4D,2014,81K miles,"Carmel, IN","$10,400",https://www.facebook.com//marketplace/item/1186819856003370/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Toyota corolla cross awd xle,2022,38K miles,"Carmel, IN","$14,995",https://www.facebook.com//marketplace/item/475910171502025/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai sonata GLS Sedan 4D,2012,168K miles,"Indianapolis, IN","$4,800",https://www.facebook.com//marketplace/item/1010538893930498/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Mitsubishi mirage DE Hatchback 4D,2015,82K miles,"Noblesville, IN","$4,995",https://www.facebook.com//marketplace/item/1121584032253352/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Subaru impreza 2.0i Sport Premium Wagon 4D,2016,129K miles,"Indianapolis, IN","$7,700",https://www.facebook.com//marketplace/item/1669996913755195/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Subaru outback 2.5i Premium Wagon 4D,2013,96K miles · Dealership,"Lafayette, IN","$7,995",https://www.facebook.com//marketplace/item/462151826151515/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Subaru impreza 2.0i Sport Wagon 4D,2018,40K miles,"Lafayette, IN","$19,000",https://www.facebook.com//marketplace/item/440418261697311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet cruze LT Sedan 4D,2016,98K miles,"Indianapolis, IN","$3,500",https://www.facebook.com//marketplace/item/488521483711897/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia soul Wagon 4D,2015,78K miles,"Monticello, IN","$8,800",https://www.facebook.com//marketplace/item/966688674445254/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet trax LT Sport Utility 4D,2015,59K miles · Dealership,"Lafayette, IN","$8,900",https://www.facebook.com//marketplace/item/3324001834571902/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Ford fusion SEL Sedan 4D,2020,75K miles,"Lafayette, IN",$449,https://www.facebook.com//marketplace/item/385279023942680/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 GMC terrain SLE Sport Utility 4D,2012,115K miles,"Lafayette, IN","$7,000",https://www.facebook.com//marketplace/item/2417983945064561/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda accord clean title,2012,128K miles,"Wakarusa, IN","$8,900",https://www.facebook.com//marketplace/item/397867752685424/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima 2.5 S Sedan 4D,2009,204K miles,"Battle Ground, IN","$4,300",https://www.facebook.com//marketplace/item/995380898412372/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Subaru brz Limited Coupe 2D,2014,76K miles,"Lafayette, IN","$13,500",https://www.facebook.com//marketplace/item/432801109632959/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Toyota avalon,2014,97K miles,"Indianapolis, IN","$1,000",https://www.facebook.com//marketplace/item/497272602868753/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Chevrolet malibu LT Sedan 4D,2015,169K miles,"Whitestown, IN","$5,790",https://www.facebook.com//marketplace/item/459428610167451/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Jeep compass Limited Sport Utility 4D,2011,130K miles,"Frankfort, IN","$5,300",https://www.facebook.com//marketplace/item/843893124310937/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Honda civic LX Sedan 4D,2008,174K miles,"Lafayette, IN","$6,000",https://www.facebook.com//marketplace/item/1421868268461725/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
