Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai elantra SE Sedan 4D,2015,136K miles,"Amelia, OH","$4,500",https://www.facebook.com//marketplace/item/860093849313449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Mazda,2007,131K miles,"Goshen, OH","$3,595",https://www.facebook.com//marketplace/item/843849801024330/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Coupe 2D,2012,185K miles · Dealership,"Hamilton, OH","$4,550",https://www.facebook.com//marketplace/item/1522805441981571/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Nissan leaf S-24 Hatchback 4D,2016,26K miles,"Fort Thomas, KY","$6,000",https://www.facebook.com//marketplace/item/3792474441038159/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2016,177K miles,"Franklin, OH","$9,000",https://www.facebook.com//marketplace/item/945353990677097/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai sonata Limited Sedan 4D,2011,29K miles,"Cincinnati, OH","$6,800",https://www.facebook.com//marketplace/item/1044099313802171/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Volkswagen jetta SEL Sedan 4D,2011,143K miles,"Franklin, OH","$4,500",https://www.facebook.com//marketplace/item/346788411299342/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota prius Touring Hatchback 4D,2008,180K miles,"Mason, OH","$5,800",https://www.facebook.com//marketplace/item/1520766711904364/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda civic EX-L Sedan 4D,2016,112K miles,"Fairfield, OH","$15,900",https://www.facebook.com//marketplace/item/312949561855953/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota corolla,2010,129K miles,"Cincinnati, OH","$6,400",https://www.facebook.com//marketplace/item/854494276536445/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai sonata Limited Sedan 4D,2011,171K miles,"Milford, OH","$4,200",https://www.facebook.com//marketplace/item/358295863747080/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota corolla L Sedan 4D,2017,140K miles,"Cincinnati, OH","$11,000",https://www.facebook.com//marketplace/item/7309949619132085/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai elantra GLS Sedan 4D,2013,113K miles,"Cincinnati, OH","$5,999",https://www.facebook.com//marketplace/item/1576268196608614/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Kia soul + Wagon 4D,2015,97K miles,"Cincinnati, OH","$5,299",https://www.facebook.com//marketplace/item/1233947241349219/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Nissan sentra S Sedan 4D,2008,54K miles,"Waynesville, OH","$6,800",https://www.facebook.com//marketplace/item/1454896358478919/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai sonata SE Sedan 4D,2016,146K miles,"Fairfield, OH","$2,100",https://www.facebook.com//marketplace/item/488388567012202/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Kia rio S Sedan 4D,2018,146K miles,"Cincinnati, OH","$7,500",https://www.facebook.com//marketplace/item/849104227129740/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Subaru legacy 2.5i Sport Sedan 4D,2017,83K miles,"Cincinnati, OH","$10,500",https://www.facebook.com//marketplace/item/505653638467317/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Nissan versa S,2009,117K miles,"Springboro, OH","$3,150",https://www.facebook.com//marketplace/item/3777729019221432/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
