Model,Year,Miles,Location,Prices,Link,Scraped_On
 Honda civic Sport Sedan 4D,2022,24K miles,"Mason, OH","$16,300",https://www.facebook.com//marketplace/item/1952906675140539/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic EX Sedan 4D,2012,108K miles,"Cincinnati, OH","$8,000",https://www.facebook.com//marketplace/item/1518244158774088/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Ford focus,2013,190K miles,"Cincinnati, OH","$3,600",https://www.facebook.com//marketplace/item/464772509496565/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mercedes-Benz c-class C 300 Sport Sedan 4D,2011,129K miles,"Cincinnati, OH","$3,000",https://www.facebook.com//marketplace/item/1393033228056406/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota corolla Sedan 4D,2010,179K miles,"Cincinnati, OH","$5,500",https://www.facebook.com//marketplace/item/1660168748116650/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota avalon Limited Sedan 4D,2008,182K miles,"Cincinnati, OH","$4,000",https://www.facebook.com//marketplace/item/493610016527073/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Subaru impreza 2.0i Premium Wagon 4D,2014,140K miles,"Burlington, KY","$3,500",https://www.facebook.com//marketplace/item/845201290323415/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic Sport Sedan 4D,2020,53K miles,"Cincinnati, OH","$15,500",https://www.facebook.com//marketplace/item/1544691592835032/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic LX Sedan 4D,2013,103K miles,"Cincinnati, OH","$5,500",https://www.facebook.com//marketplace/item/974711114132729/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord EX Sedan 4D,2005,163K miles,"Cincinnati, OH","$3,450",https://www.facebook.com//marketplace/item/867263855422548/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
