Model,Year,Miles,Location,Prices,Link,Scraped_On
 Nissan altima 2.5 S Sedan 4D,2020,75K miles,"Cincinnati, OH","$16,000",https://www.facebook.com//marketplace/item/7762563527169100/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Kia sorento LX Sport Utility 4D,2016,47K miles,"Milford, OH","$8,800",https://www.facebook.com//marketplace/item/778775160785916/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Chrysler 200 Limited Sedan 4D,2015,116K miles,"Lexington, KY","$6,995",https://www.facebook.com//marketplace/item/467448465843039/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Kia sorento LX Sport Utility 4D,2015,87K miles,"Milford, OH","$6,500",https://www.facebook.com//marketplace/item/1053793789410008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan versa SV Sedan 4D,2016,100K miles,"Cincinnati, OH","$5,299",https://www.facebook.com//marketplace/item/3727192824269656/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai sonata Limited Sedan 4D,2011,147K miles,"Cincinnati, OH","$4,200",https://www.facebook.com//marketplace/item/886377869952539/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai sonata Limited Sedan 4D,2011,83K miles,"Florence, KY","$4,800",https://www.facebook.com//marketplace/item/1289064385052879/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Volkswagen jetta 2.0L Base Sedan 4D,2014,133K miles,"Loveland, OH","$5,000",https://www.facebook.com//marketplace/item/3754683788102127/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 SL Sedan 4D,2013,113K miles,"Cincinnati, OH","$6,500",https://www.facebook.com//marketplace/item/444122578368487/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Honda accord LX,2017,93K miles,"Lynchburg, OH","$13,500",https://www.facebook.com//marketplace/item/443155601933602/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai sonata,2011,131K miles,"Dayton, OH","$4,200",https://www.facebook.com//marketplace/item/795517629377433/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Kia optima SX Sedan 4D,2012,141K miles,"Cincinnati, OH","$5,999",https://www.facebook.com//marketplace/item/1537841120477194/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Mazda mazda3 s Touring Hatchback 4D,2012,173K miles,"Cincinnati, OH","$5,200",https://www.facebook.com//marketplace/item/781678787144169/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Honda accord,2023,11K miles,"Cincinnati, OH","$24,500",https://www.facebook.com//marketplace/item/465039549504652/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Kia forte lx (down-payment),2024,300 miles,"Cincinnati, OH",$500,https://www.facebook.com//marketplace/item/1890130124758502/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Honda accord Sport Sedan 4D,2021,38K miles,"Dayton, OH","$20,000",https://www.facebook.com//marketplace/item/429860906706479/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Kia Stinger,2018,,"Cincinnati, OH","$14,995",https://www.facebook.com//marketplace/item/1017400483377554/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota prius Three Hatchback 4D,2015,131K miles,"Harrison, OH","$8,900",https://www.facebook.com//marketplace/item/1634313153968527/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Kia soul ! Wagon 4D,2013,39K miles,"Morrow, OH","$6,500",https://www.facebook.com//marketplace/item/859320629399378/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Honda accord EX-L Sedan 4D,2011,140K miles,"Cincinnati, OH","$5,990",https://www.facebook.com//marketplace/item/1024652219659840/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Chevrolet cruze limited LTZ Sedan 4D,2016,122K miles,"Cambridge City, IN","$5,900",https://www.facebook.com//marketplace/item/828682478888783/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai veloster Coupe 3D,2013,155K miles,"Cincinnati, OH","$4,700",https://www.facebook.com//marketplace/item/1394306201266436/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry Sedan 4D,2009,180K miles,"Mason, OH","$3,500",https://www.facebook.com//marketplace/item/3227630607369495/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 BMW 5 series 528i xDrive Sedan 4D,2009,69K miles,"Cincinnati, OH","$12,500",https://www.facebook.com//marketplace/item/551168244003275/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Honda accord ex-l,2009,155K miles,"Covington, KY","$6,900",https://www.facebook.com//marketplace/item/776365741029035/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 Sedan 4D,2011,148K miles · Dealership,"Cincinnati, OH","$3,799",https://www.facebook.com//marketplace/item/486274597292492/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Ford fiesta S Sedan 4D,2018,98K miles,"Fairfield, OH","$6,000",https://www.facebook.com//marketplace/item/1096503008308979/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Mazda mazda3,2010,154K miles,"Hamilton, OH","$4,500",https://www.facebook.com//marketplace/item/3395479360753651/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Chevrolet cruze LS Sedan 4D,2016,107K miles,"Williamsburg, OH","$3,500",https://www.facebook.com//marketplace/item/1003491904520959/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Volkswagen gti,2008,,"Cincinnati, OH","$6,995",https://www.facebook.com//marketplace/item/1525577611676642/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Volkswagen jetta 2.0L Base Sedan 4D,2014,137K miles,"Cincinnati, OH","$1,234",https://www.facebook.com//marketplace/item/420549837094259/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Ford focus SE,2017,55K miles,"Nicholasville, KY","$6,999",https://www.facebook.com//marketplace/item/851393603542651/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan sentra,2011,136K miles,"Cincinnati, OH","$4,800",https://www.facebook.com//marketplace/item/1004806794577178/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Ford fusion SE,2014,206K miles · Dealership,"Cincinnati, OH","$3,799",https://www.facebook.com//marketplace/item/796700742547838/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Ford fusion SEL Sedan 4D,2012,139K miles,"Newport, KY","$4,500",https://www.facebook.com//marketplace/item/3774058312863271/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Chrysler 200 Touring Sedan 4D,2013,130K miles,"Cincinnati, OH","$3,300",https://www.facebook.com//marketplace/item/793179319550673/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Ford taurus sel,2015,127K miles,"Cincinnati, OH","$7,100",https://www.facebook.com//marketplace/item/7767975643226665/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Jeep cherokee Latitude Sport Utility 4D,2015,121K miles,"Cincinnati, OH","$9,999",https://www.facebook.com//marketplace/item/476408095139366/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry SE Sedan 4D,2007,228K miles,"Cincinnati, OH","$3,995",https://www.facebook.com//marketplace/item/1154963059165775/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Lexus nx 200t,2017,84K miles,"Cincinnati, OH","$19,995",https://www.facebook.com//marketplace/item/3758429754379992/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
