Model,Year,Miles,Location,Prices,Link,Scraped_On
 Chevrolet equinox LT Sport Utility 4D,2013,155K miles,"West Chester, OH","$4,499",https://www.facebook.com//marketplace/item/1960041011132899/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Ford focus S Sedan 4D,2014,35K miles,"Milford, OH","$8,500",https://www.facebook.com//marketplace/item/968804134432327/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Kia sorento LX Sport Utility 4D,2015,77K miles,"Middletown, OH","$11,000",https://www.facebook.com//marketplace/item/463410596290956/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota corolla LE Sedan 4D,2005,221K miles,"Fort Mitchell, KY","$3,500",https://www.facebook.com//marketplace/item/455446850714554/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda civic 4 door,2012,140K miles,"Fairfield, OH","$2,000",https://www.facebook.com//marketplace/item/1018263646390838/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Chevrolet cruze RS/LTZ loaded with all the options￼,2014,155K miles,"Franklin, OH","$5,850",https://www.facebook.com//marketplace/item/972402317920122/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota venza Limited Wagon 4D,2014,91K miles,"Columbus, OH","$9,315",https://www.facebook.com//marketplace/item/187352990371338/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 MINI Cooper S Roadster 2D,2013,90K miles,"Cincinnati, OH","$4,500",https://www.facebook.com//marketplace/item/1006802764148465/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Chevrolet cruze LT Sedan 4D,2012,125K miles,"Lebanon, OH","$5,000",https://www.facebook.com//marketplace/item/894512982374014/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai elantra Limited Sedan 4D,2014,110K miles,"Dayton, OH","$4,500",https://www.facebook.com//marketplace/item/1266508364318545/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan sentra SV Sedan 4D,2015,56K miles,"Miamisburg, OH","$7,000",https://www.facebook.com//marketplace/item/372521521810789/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda civic LX Sedan 4D,2017,122K miles,"Dayton, OH","$9,500",https://www.facebook.com//marketplace/item/1611672842960922/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota corolla LE Sedan 4D,2010,129K miles,"Hamilton, OH","$6,600",https://www.facebook.com//marketplace/item/1163382561533589/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda civic LX Sedan 4D,2019,27K miles,"Dayton, OH","$14,000",https://www.facebook.com//marketplace/item/1898540203942609/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Kia optima LX Sedan 4D,2013,151K miles,"West Chester, OH","$5,799",https://www.facebook.com//marketplace/item/843372731012303/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Chevrolet cruze LT Sedan 4D,2018,82K miles,"Maineville, OH","$7,999",https://www.facebook.com//marketplace/item/503328855381002/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan sentra SR,2019,88K miles,"Franklin, OH","$10,500",https://www.facebook.com//marketplace/item/762490742633480/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan sentra SR Sedan 4D,2020,45K miles,"Dayton, OH","$13,950",https://www.facebook.com//marketplace/item/853847033442947/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota camry LE Sedan 4D,2010,131K miles,"Xenia, OH","$4,700",https://www.facebook.com//marketplace/item/2607313316113785/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan altima 2.5 SV Sedan 4D,2014,150K miles,"Dayton, OH","$4,600",https://www.facebook.com//marketplace/item/283814134758341/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Nissan altima 2.5 S Sedan 4D,2015,144K miles,"Hamilton, OH","$4,300",https://www.facebook.com//marketplace/item/1481490152741960/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
