Model,Location,Miles,Prices,Link,Year,Scraped_On
 Buick Encore,"Lafayette, IN",61K miles,"$10,900",/marketplace/item/480681317990598/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Kia optima sx turbo,"Logansport, IN",114K miles,"$9,995",/marketplace/item/1717348535689188/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet cruze limited,"West Lafayette, IN",123K miles,"$7,500",/marketplace/item/1114152563021343/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Ford sedan fwd sel,"Lafayette, IN",39K miles,$520,/marketplace/item/319978154402175/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Dodge charger SXT Sedan 4D,"Logansport, IN",89K miles,"$13,900",/marketplace/item/1499227074302560/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Ford fusion hybrid 4d sedan fwd s,"Lafayette, IN",78K miles,$460,/marketplace/item/991758112256829/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Nissan maxima full loaded S,"Lafayette, IN",131K miles · Dealership,"$11,900",/marketplace/item/1131836604801748/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Hyundai tucson,"West Lafayette, IN",127K miles,"$11,500",/marketplace/item/1169111551064328/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Mazda mazda6 4 Cylinders,"Indianapolis, IN",161K miles,"$3,500",/marketplace/item/1184028682735865/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Chevrolet trax,"Lafayette, IN",77K miles,$399,/marketplace/item/1248109996167120/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Kia rio EX Sedan 4D,"Van Buren, IN",149K miles,"$3,000",/marketplace/item/358851846966459/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Hyundai sonata,"Lafayette, IN",97K miles,"$1,000",/marketplace/item/3979920952288007/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Chevrolet malibu limited LT Sedan 4D,"Lafayette, IN",85K miles · Dealership,"$10,900",/marketplace/item/1422523935300968/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Chevrolet malibu LT Sedan 4D,"Tilton, IL",155K miles,"$6,500",/marketplace/item/3734279350176173/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Chevrolet trax,"Lafayette, IN",Dealership,"$8,900",/marketplace/item/441430311911304/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Nissan rogue SV,"Lafayette, IN",115K miles,"$13,900",/marketplace/item/25870720905908147/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Jeep cherokee TrailHawk Sport Utility 4D,"Lafayette, IN",77K miles,$529,/marketplace/item/428717136651485/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Honda accord,"Frankfort, IN",121K miles,"$8,900",/marketplace/item/1468091920738333/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Kia optima FE,"Indianapolis, IN",65K miles,"$10,000",/marketplace/item/1254761849240147/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Volkswagen jetta 1.8T SE Sedan 4D,"Lafayette, IN",170K miles,"$5,000",/marketplace/item/772410311732428/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Toyota corolla LE Sedan 4D,"Carmel, IN",21K miles,"$20,000",/marketplace/item/1198880897775547/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2023,2024-07-02
 Hyundai sonata,"West Lafayette, IN",65K miles,"$11,900",/marketplace/item/445346781614231/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Nissan sentra,"Lebanon, IN",69K miles,"$13,997",/marketplace/item/862630295769603/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Honda accord EX-L Sedan 4D,"Frankfort, IN",121K miles,"$8,900",/marketplace/item/487699053720055/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Volkswagen passat 2.0T Sedan 4D,"Lafayette, IN",30K miles,"$1,234",/marketplace/item/288190364316303/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Hyundai sonata,"Lafayette, IN",39K miles,$490,/marketplace/item/377684461983081/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Toyota prius Four Hatchback 4D,"Carmel, IN",81K miles,"$10,400",/marketplace/item/1186819856003370/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Toyota corolla cross awd xle,"Carmel, IN",38K miles,"$14,995",/marketplace/item/475910171502025/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Hyundai sonata GLS Sedan 4D,"Indianapolis, IN",168K miles,"$4,800",/marketplace/item/1010538893930498/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
