Model,Location,Miles,Prices,Link,Year,Scraped_On
 Nissan altima,"Reynolds, IN",130K miles,"$10,200",/marketplace/item/3687772651491800/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Nissan altima 2.5 S Sedan 4D,"Danville, IL",252K miles,"$1,000",/marketplace/item/771264631866124/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2005,2024-07-02
 Buick lucerne CXL Sedan 4D,"Lafayette, IN",130K miles,"$1,500",/marketplace/item/1014628343340120/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Mercury mountaineer Sport Utility 4D,"Lafayette, IN",156K miles,"$3,700",/marketplace/item/799939242205951/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Honda civic LX Sedan 4D,"Indianapolis, IN",267K miles,"$3,300",/marketplace/item/838095034439150/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Chevrolet trax,"Lebanon, IN",95K miles,"$12,997",/marketplace/item/7621212331260839/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Subaru impreza WRX Sport Wagon 4D,"Indianapolis, IN",112K miles,"$14,000",/marketplace/item/357261027142088/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Kia sorento EX Sport Utility 4D,"Indianapolis, IN",94K miles,"$15,000",/marketplace/item/1357218491639607/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Chevrolet equinox,"Kokomo, IN",146K miles,"$6,699",/marketplace/item/990963925643707/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Infiniti g35 Sport,"West Lafayette, IN",167K miles,"$12,000",/marketplace/item/822682796485230/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Honda cr-v EX Sport Utility 4D,"Lafayette, IN",174K miles,"$3,450",/marketplace/item/1232239954853077/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2003,2024-07-02
 Nissan murano SL Sport Utility 4D,"Lafayette, IN",173K miles,"$2,800",/marketplace/item/755287840016150/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2005,2024-07-02
 Chevrolet camaro Coupe 2D,"Lafayette, IN",64K miles,"$5,500",/marketplace/item/1010129586738959/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1983,2024-07-02
 MINI cooper S Hatchback 2D,"Crawfordsville, IN",164K miles,"$3,825",/marketplace/item/958703795988706/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Pontiac bonneville SLE Sedan 4D,"Crawfordsville, IN",223K miles,"$1,500",/marketplace/item/1042270487315101/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Dodge caliber,"Crawfordsville, IN",99K miles,"$4,000",/marketplace/item/1588314091901082/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Ford mustang,"Indianapolis, IN",1.4K miles,"$35,000",/marketplace/item/1450659889143626/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1966,2024-07-02
 Honda accord,"Indianapolis, IN",,"$2,800",/marketplace/item/483785687663909/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Chrysler 200 Touring Sedan 4D,"Monticello, IN",185K miles,"$2,700",/marketplace/item/1204824030502096/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Ford f150 supercrew cab FX4 Pickup 4D 6 1/2 ft,"Monticello, IN",106K miles,"$15,995",/marketplace/item/446375781636837/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Dodge charger R/T Sedan 4D,"Crawfordsville, IN",118K miles,"$6,800",/marketplace/item/829704171984084/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Chrysler 300,"Lafayette, IN",49K miles,"$25,000",/marketplace/item/1490533301896922/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Dodge avenger,"Lafayette, IN",98K miles,"$3,200",/marketplace/item/2657833804606408/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1998,2024-07-02
 Saab 9-5 2.3T Sedan 4D,"West Lafayette, IN",190K miles,"$4,000",/marketplace/item/928947455442097/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Jeep grand cherokee SRT,"Wolcott, IN",10K miles,Free,/marketplace/item/1033469881486425/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024,2024-07-02
 Chevrolet corvair monza convertible,"West Lafayette, IN",93K miles,"$14,500",/marketplace/item/1906660613083090/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1965,2024-07-02
 Toyota camry SE Sedan 4D,"West Lafayette, IN",168K miles,"$10,500",/marketplace/item/448170654494864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Nissan versa S,"Lafayette, IN",93K miles · Dealership,"$9,900",/marketplace/item/917498693116565/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Hyundai Ioniq Electric,"Brook, IN",141K miles,"$11,995",/marketplace/item/1206025763694301/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Ford c-max hybrid sel,"Carmel, IN",92K miles,"$9,900",/marketplace/item/1582993082276543/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 GMC terrain SLT Sport Utility 4D,"Frankfort, IN",90K miles,"$6,800",/marketplace/item/1216834109207439/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Mazda miata grand touring....31k miles,"Avon, IN",31K miles,"$17,995",/marketplace/item/397888586539311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Nissan altima,"Lafayette, IN",109K miles,"$20,995",/marketplace/item/2085366011835332/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Kia soul + Wagon 4D,"Monticello, IN",113K miles,"$10,995",/marketplace/item/772531404643367/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Toyota prius c Three,"Carmel, IN",76K miles,"$15,700",/marketplace/item/948786439938818/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Honda civic LX Sedan 4D,"Greenwood, IN",140K miles,"$4,800",/marketplace/item/420931317579269/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Subaru Legacy,"Lafayette, IN",66K miles,"$20,900",/marketplace/item/1914903132302519/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Chevrolet malibu LT,"Carmel, IN",121K miles,"$13,200",/marketplace/item/788939669955972/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Audi allroad Premium Wagon 4D,"Aurora, IL",133K miles,"$9,000",/marketplace/item/1783727805489459/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Ford escape awd loaded SE,"Lafayette, IN",85K miles · Dealership,"$17,500",/marketplace/item/358284640492794/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Ford explorer 4wd,"Carmel, IN",115K miles,"$11,691",/marketplace/item/1473120796930146/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Nissan altima,"Kokomo, IN",84K miles,$800,/marketplace/item/475726118312904/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Ford mustang GT Premium Coupe 2D,"Lafayette, IN",47K miles,"$35,000",/marketplace/item/1118801882551906/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Honda accord EX-L Sedan 4D,"Lafayette, IN",180K miles,"$4,500",/marketplace/item/1127612448246977/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2005,2024-07-02
 Chevrolet equinox,"Indianapolis, IN",100K miles,"$11,900",/marketplace/item/1595453877913725/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Jeep cherokee Latitude,"Lafayette, IN",72K miles · Dealership,"$18,900",/marketplace/item/713205947542375/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Nissan rogue,"Lebanon, IN",73K miles,"$16,199",/marketplace/item/1618343465403237/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet equinox,"Lafayette, IN",Dealership,"$17,900",/marketplace/item/776811184296297/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Honda cr-v EX Sport Utility 4D,"Lafayette, IN",221K miles,"$1,500",/marketplace/item/425538003803302/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1999,2024-07-02
 Ford f150 supercrew cab Lariat Pickup 4D 5 1/2 ft,"Whiteland, IN",176K miles,"$8,900",/marketplace/item/730196872470867/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Lincoln town car Signature Limited Sedan 4D,"West Lafayette, IN",180K miles,"$8,500",/marketplace/item/1460544034533934/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Pontiac grand prix GT Sedan 4D,"Flora, IN",210K miles,"$2,500",/marketplace/item/1896688824138401/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Chevrolet malibu,"Kokomo, IN",136K miles,"$1,000",/marketplace/item/1384593178887673/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2002,2024-07-02
 Chevrolet equinox one owner LT,"Lafayette, IN",75K miles · Dealership,"$18,900",/marketplace/item/1844705436043838/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Chevrolet impala Premier Sedan 4D,"Lafayette, IN",87K miles,"$18,900",/marketplace/item/1021686488891609/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Honda accord LX Coupe 2D,"Linden, IN",173K miles,"$3,300",/marketplace/item/435785102581158/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2000,2024-07-02
 Chevrolet impala full loaded LTZ,"Lafayette, IN",151K miles · Dealership,"$13,900",/marketplace/item/427759013312903/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Kia telluride,"Indianapolis, IN",56K miles,"$36,730",/marketplace/item/402283699051105/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Chevrolet equinox,"Kokomo, IN",128K miles,"$10,995",/marketplace/item/1146908213029153/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Ford model t Cope,"Peru, IN",10K miles,"$12,000",/marketplace/item/1282776969772214/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1925,2024-07-02
 Buick enclave,"Lafayette, IN",158K miles,"$5,500",/marketplace/item/856652789680444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Ford mustang Convertible 2D,"Whiteland, IN",145K miles,"$7,350",/marketplace/item/845619444094494/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Buick park avenue Sedan 4D,"Frankfort, IN",142K miles,"$4,200",/marketplace/item/842696137366956/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2001,2024-07-02
 Chevrolet equinox,"Kokomo, IN",122K miles,"$9,595",/marketplace/item/813497767023635/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Dodge durango,"Indianapolis, IN",121K miles,"$4,000",/marketplace/item/1585397518672345/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Ford f150 super cab Lariat,"Lafayette, IN",136K miles,"$6,200",/marketplace/item/984713626658936/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Chevrolet malibu LS Sedan 4D,"Indianapolis, IN",71K miles,"$1,200",/marketplace/item/2783758488446240/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Ford mustang GT Coupe 2D,"West Lafayette, IN",120K miles,"$6,800",/marketplace/item/1174257857106225/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2000,2024-07-02
 Vitacci bullet,"Brookston, IN",1.2K miles,$700,/marketplace/item/442314768723405/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2023,2024-07-02
 Ford mustang GT Coupe 2D,"Frankfort, IN",127K miles,"$16,000",/marketplace/item/2220031141680546/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Chevrolet malibu $499 down,"Lafayette, IN",,$499,/marketplace/item/1327859487890994/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet corvette,"Crawfordsville, IN",123K miles,"$5,000",/marketplace/item/1397961754246258/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1984,2024-07-02
 Chevrolet colorado LT,"Anderson, IN",58K miles,"$20,981",/marketplace/item/453134974271765/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Chevrolet malibu LT Sedan 4D,"Lafayette, IN",60K miles · Dealership,"$13,900",/marketplace/item/1077868486766950/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Volkswagen jetta,"Brook, IN",101K miles,"$11,995",/marketplace/item/994446442087164/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Nissan altima,"Indianapolis, IN",90K miles,"$9,900",/marketplace/item/462990742988046/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Toyota camry SE Sedan 4D,"Indianapolis, IN",37K miles,"$26,900",/marketplace/item/461512750162327/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2023,2024-07-02
" Kia k5 🤘 51,340 miles","Indianapolis, IN",,"$18,775",/marketplace/item/425114660515893/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Nissan altima luxury ✅ one owner ✅ SR,"Lafayette, IN",86K miles · Dealership,"$19,500",/marketplace/item/942487290329306/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Hyundai sonata,"Lafayette, IN",54K miles,"$21,500",/marketplace/item/1061969061579617/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Nissan sentra,"Indianapolis, IN",24K miles,"$19,495",/marketplace/item/1150472599341091/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Toyota prius v Four Wagon 4D,"Indianapolis, IN",57K miles,"$12,700",/marketplace/item/1556987541526845/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Kia forte,"Lafayette, IN",42K miles,"$23,500",/marketplace/item/1383211742586753/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Nissan altima fwd full loaded SR,"Lafayette, IN",86K miles · Dealership,"$19,500",/marketplace/item/1578986076185300/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Hyundai ioniq electric,"Fishers, IN",33K miles,"$23,500",/marketplace/item/3265202443623071/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Nissan altima 3.5 SE Sedan 4D,"Lafayette, IN",184K miles,"$4,400",/marketplace/item/526601196558100/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2005,2024-07-02
 Chrysler 300C Sedan 4D,"Lafayette, IN",174K miles,"$5,500",/marketplace/item/7524408004322537/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
" TOP USED CARS, SUVS & TRUCKS *bad credit no problem✓","Joliet, IL",,"$1,000",/marketplace/item/922339812715353/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024,2024-07-02
 Subaru impreza 2.5i Sedan 4D,"Thorntown, IN",104K miles · Dealership,"$4,995",/marketplace/item/488644147025464/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
" TOP USED CARS, SUVS & TRUCKS *bad credit no problem✓","Highland, IN",,"$1,000",/marketplace/item/299895056464579/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Toyota corolla Deluxe Wagon 4D,"Frankfort, IN",999K miles,$450,/marketplace/item/798161278738706/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1993,2024-07-02
 Dodge caliber Express Sport Wagon 4D,"Indianapolis, IN",89K miles,$3,/marketplace/item/998432201685575/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Dodge nitro r/t sport 4.0,"Lafayette, IN",175K miles,"$5,500",/marketplace/item/1918480618612187/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Ford escape 😎 30723 miles,"Plainfield, IN",,"$19,378",/marketplace/item/938975531047658/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Kia optima,"Indianapolis, IN",105K miles,"$2,800",/marketplace/item/1186070282819480/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Kia soul Wagon 4D,"Thorntown, IN",169K miles · Dealership,"$4,495",/marketplace/item/429988059952991/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Nissan rogue,"Lafayette, IN",103K miles,"$19,500",/marketplace/item/966610548223439/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Ford mustang gt,"Indianapolis, IN",140K miles,"$8,500",/marketplace/item/382414661031886/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Lincoln town car Signature Sedan 4D,"Winamac, IN",130K miles,$123,/marketplace/item/489031036854730/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1994,2024-07-02
 Chevrolet hhr LT Sport Wagon 4D,"Avon, IN",271K miles,"$2,500",/marketplace/item/3916100322046573/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Dodge dart aero,"Indianapolis, IN",203K miles,"$3,295",/marketplace/item/867171818554733/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Nissan titan SV 4c4 Crew Cab,"Indianapolis, IN",300 miles,"$53,305",/marketplace/item/1232744404804596/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024,2024-07-02
 Nissan murano SE Sport Utility 4D,"Lafayette, IN",180K miles,$900,/marketplace/item/1301830424110066/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Nissan titan SV 4x4 crew cab,"Indianapolis, IN",300 miles,"$57,445",/marketplace/item/2152439608463194/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024,2024-07-02
 Chevrolet trax,"Lafayette, IN",41K miles,"$20,995",/marketplace/item/269748462819725/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Chrysler sebring LX Convertible 2D,"Wabash, IN",154K miles,"$2,400",/marketplace/item/846607000134693/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2001,2024-07-02
 GMC sierra 1500 regular cab Short Bed,"Lafayette, IN",165K miles,"$6,950",/marketplace/item/1011798983297332/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2001,2024-07-02
